Date,Time,Happiness Score
2022-08-21,18:03,0.259
2022-08-21,18:03,0.259
2022-08-21,18:03,0.259
2022-08-21,18:03,0.259
2022-08-21,18:04,0.259
2022-08-21,18:04,0.259
2022-08-21,18:04,0.259
2022-08-21,18:04,0.259
2022-08-21,18:36,-0.075
2022-08-21,18:39,0.091
2022-08-21,19:43,0.261
2022-08-21,19:46,0.261
2022-08-21,19:48,0.261
2022-08-21,19:49,0.261
2022-08-21,19:51,0.094
2022-08-21,19:51,0.094
2022-08-21,19:52,0.094
2022-08-21,19:53,0.094
2022-08-21,19:57,0.26
2022-08-21,19:57,0.26
2022-08-21,19:58,0.26
2022-08-21,19:59,0.06
2022-08-21,19:59,0.327
2022-08-21,19:59,0.06
2022-08-21,19:59,-0.307
2022-08-21,20:00,0.326
2022-08-21,20:00,-0.308
2022-08-21,20:00,-0.174
2022-08-21,20:00,0.292
2022-08-21,20:01,0.059
2022-08-21,20:01,0.059
2022-08-21,20:01,-0.241
2022-08-21,20:02,0.292
2022-08-21,20:07,-0.075
2022-08-21,20:11,0.292
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:18,0.258
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
2022-08-21,20:21,0.092
